mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name,junk
25.0,4,110.0,87.00,2672.0,17.5,70.0,2,peugeot 504,1.4992436313695303
24.0,4,107.0,90.00,2430.0,14.5,70.0,2,audi 100 ls,-0.1340237938771826
25.0,4,104.0,95.00,2375.0,17.5,70.0,2,saab 99e,-0.6656593518084684
26.0,4,121.0,113.0,2234.0,12.5,70.0,2,bmw 2002,-0.9758928830175356
21.0,6,199.0,90.00,2648.0,15.0,70.0,1,amc gremlin,1.5458334737717518
10.0,8,360.0,215.0,4615.0,14.0,70.0,1,ford f250,1.762986056234738
10.0,8,307.0,200.0,4376.0,15.0,70.0,1,chevy c20,-0.2816158423192284
11.0,8,318.0,210.0,4382.0,13.5,70.0,1,dodge d200,0.17896142606662502
9.0,8,304.0,193.0,4732.0,18.5,70.0,1,hi 1200d,0.5451093930349614
27.0,4,97.0,88.00,2130.0,14.5,71.0,3,datsun pl510,0.4365754250041581
28.0,4,140.0,90.00,2264.0,15.5,71.0,1,chevrolet vega 2300,1.067235181709423
25.0,4,113.0,95.00,2228.0,14.0,71.0,3,toyota corona,-0.07185509474571153
19.0,6,232.0,100.0,2634.0,13.0,71.0,1,amc gremlin,-0.21646767259223326
16.0,6,225.0,105.0,3439.0,15.5,71.0,1,plymouth satellite custom,-0.5973877221276722
17.0,6,250.0,100.0,3329.0,15.5,71.0,1,chevrolet chevelle malibu,0.5567350119000012
19.0,6,250.0,88.00,3302.0,15.5,71.0,1,ford torino 500,-0.35950757375812203
18.0,6,232.0,100.0,3288.0,15.5,71.0,1,amc matador,0.2319975089228369
14.0,8,350.0,165.0,4209.0,12.0,71.0,1,chevrolet impala,0.9450088367358374
14.0,8,400.0,175.0,4464.0,11.5,71.0,1,pontiac catalina brougham,-0.7628473045000377
14.0,8,351.0,153.0,4154.0,13.5,71.0,1,ford galaxie 500,-0.2721445532556339
14.0,8,318.0,150.0,4096.0,13.0,71.0,1,plymouth fury iii,-0.9409882059383308
12.0,8,383.0,180.0,4955.0,11.5,71.0,1,dodge monaco (sw),1.822440770161836
13.0,8,400.0,170.0,4746.0,12.0,71.0,1,ford country squire (sw),-0.7627428892830637
13.0,8,400.0,175.0,5140.0,12.0,71.0,1,pontiac safari (sw),-0.8796928354442126
18.0,6,258.0,110.0,2962.0,13.5,71.0,1,amc hornet sportabout (sw),1.1416466728071142
22.0,4,140.0,72.00,2408.0,19.0,71.0,1,chevrolet vega (sw),0.8590632806130853
19.0,6,250.0,100.0,3282.0,15.0,71.0,1,pontiac firebird,-1.430767975898666
18.0,6,250.0,88.00,3139.0,14.5,71.0,1,ford mustang,-0.17807005615309074
23.0,4,122.0,86.00,2220.0,14.0,71.0,1,mercury capri 2000,0.4746641260137518
28.0,4,116.0,90.00,2123.0,14.0,71.0,2,opel 1900,-0.09457392742656967
30.0,4,79.0,70.00,2074.0,19.5,71.0,2,peugeot 304,-0.6904163190188491
30.0,4,88.0,76.00,2065.0,14.5,71.0,2,fiat 124b,-0.241206436442388
31.0,4,71.0,65.00,1773.0,19.0,71.0,3,toyota corolla 1200,0.7183327634142912
35.0,4,72.0,69.00,1613.0,18.0,71.0,3,datsun 1200,1.7256934597659943
27.0,4,97.0,60.00,1834.0,19.0,71.0,2,volkswagen model 111,-0.5284609423861709
26.0,4,91.0,70.00,1955.0,20.5,71.0,1,plymouth cricket,-0.7435116412775286
24.0,4,113.0,95.00,2278.0,15.5,72.0,3,toyota corona hardtop,1.0925246661529646
25.0,4,97.5,80.00,2126.0,17.0,72.0,1,dodge colt hardtop,-0.04141735010811018
23.0,4,97.0,54.00,2254.0,23.5,72.0,2,volkswagen type 3,0.07259304231246595
20.0,4,140.0,90.00,2408.0,19.5,72.0,1,chevrolet vega,-0.7496498908220723
21.0,4,122.0,86.00,2226.0,16.5,72.0,1,ford pinto runabout,-0.3158927282415936
13.0,8,350.0,165.0,4274.0,12.0,72.0,1,chevrolet impala,-2.3437642551522844
14.0,8,400.0,175.0,4385.0,12.0,72.0,1,pontiac catalina,-0.01927607836263372
15.0,8,318.0,150.0,4135.0,13.5,72.0,1,plymouth fury iii,0.16400425334160912
14.0,8,351.0,153.0,4129.0,13.0,72.0,1,ford galaxie 500,-0.51464469152964
17.0,8,304.0,150.0,3672.0,11.5,72.0,1,amc ambassador sst,1.40246648151037
11.0,8,429.0,208.0,4633.0,11.0,72.0,1,mercury marquis,-0.3297128300033097
13.0,8,350.0,155.0,4502.0,13.5,72.0,1,buick lesabre custom,-1.005770861535084
12.0,8,350.0,160.0,4456.0,13.5,72.0,1,oldsmobile delta 88 royale,0.09907259742271853
13.0,8,400.0,190.0,4422.0,12.5,72.0,1,chrysler newport royal,-3.3122592907880466
19.0,3,70.0,97.00,2330.0,13.5,72.0,3,mazda rx2 coupe,0.5829727006306554
15.0,8,304.0,150.0,3892.0,12.5,72.0,1,amc matador (sw),0.1679224098719466
13.0,8,307.0,130.0,4098.0,14.0,72.0,1,chevrolet chevelle concours (sw),0.5978738407711833
13.0,8,302.0,140.0,4294.0,16.0,72.0,1,ford gran torino (sw),-0.6563877024689762
14.0,8,318.0,150.0,4077.0,14.0,72.0,1,plymouth satellite custom (sw),2.5206741048773296
18.0,4,121.0,112.0,2933.0,14.5,72.0,2,volvo 145e (sw),-0.07864749543486269
22.0,4,121.0,76.00,2511.0,18.0,72.0,2,volkswagen 411 (sw),-0.34432155855970353
21.0,4,120.0,87.00,2979.0,19.5,72.0,2,peugeot 504 (sw),0.1223204450167194
26.0,4,96.0,69.00,2189.0,18.0,72.0,2,renault 12 (sw),0.9177243555443384
22.0,4,122.0,86.00,2395.0,16.0,72.0,1,ford pinto (sw),0.3414120447578435
28.0,4,97.0,92.00,2288.0,17.0,72.0,3,datsun 510 (sw),0.04963171677847295
23.0,4,120.0,97.00,2506.0,14.5,72.0,3,toyouta corona mark ii (sw),-0.20130608913407388
28.0,4,98.0,80.00,2164.0,15.0,72.0,1,dodge colt (sw),0.7194643202613843
27.0,4,97.0,88.00,2100.0,16.5,72.0,3,toyota corolla 1600 (sw),-2.2213578247457297
13.0,8,350.0,175.0,4100.0,13.0,73.0,1,buick century 350,-1.2454819028128024
14.0,8,304.0,150.0,3672.0,11.5,73.0,1,amc matador,-0.1482171367867171
13.0,8,350.0,145.0,3988.0,13.0,73.0,1,chevrolet malibu,0.006226141707971518
14.0,8,302.0,137.0,4042.0,14.5,73.0,1,ford gran torino,-0.4794854917728262
15.0,8,318.0,150.0,3777.0,12.5,73.0,1,dodge coronet custom,0.07950514106823743
12.0,8,429.0,198.0,4952.0,11.5,73.0,1,mercury marquis brougham,-0.7261853965804586
13.0,8,400.0,150.0,4464.0,12.0,73.0,1,chevrolet caprice classic,0.4782589624372835
13.0,8,351.0,158.0,4363.0,13.0,73.0,1,ford ltd,0.8760345945491691
14.0,8,318.0,150.0,4237.0,14.5,73.0,1,plymouth fury gran sedan,-0.4588369481983935
13.0,8,440.0,215.0,4735.0,11.0,73.0,1,chrysler new yorker brougham,-0.9359688882775972
12.0,8,455.0,225.0,4951.0,11.0,73.0,1,buick electra 225 custom,-2.4858454920056023
13.0,8,360.0,175.0,3821.0,11.0,73.0,1,amc ambassador brougham,0.9934655971825752
18.0,6,225.0,105.0,3121.0,16.5,73.0,1,plymouth valiant,0.7282904810176075
16.0,6,250.0,100.0,3278.0,18.0,73.0,1,chevrolet nova custom,-0.01581077728713573
18.0,6,232.0,100.0,2945.0,16.0,73.0,1,amc hornet,-0.4015062059062008
18.0,6,250.0,88.00,3021.0,16.5,73.0,1,ford maverick,1.370447800130443
23.0,6,198.0,95.00,2904.0,16.0,73.0,1,plymouth duster,-0.5335492144448922
26.0,4,97.0,46.00,1950.0,21.0,73.0,2,volkswagen super beetle,1.0973858015913396
11.0,8,400.0,150.0,4997.0,14.0,73.0,1,chevrolet impala,-1.0613766231576982
12.0,8,400.0,167.0,4906.0,12.5,73.0,1,ford country,2.504969074151949
13.0,8,360.0,170.0,4654.0,13.0,73.0,1,plymouth custom suburb,0.6008367461554069
12.0,8,350.0,180.0,4499.0,12.5,73.0,1,oldsmobile vista cruiser,-1.2761236222212986
18.0,6,232.0,100.0,2789.0,15.0,73.0,1,amc gremlin,-0.739383527206524
20.0,4,97.0,88.00,2279.0,19.0,73.0,3,toyota carina,0.1629404310766627
21.0,4,140.0,72.00,2401.0,19.5,73.0,1,chevrolet vega,-1.3898375568138728
22.0,4,108.0,94.00,2379.0,16.5,73.0,3,datsun 610,1.3838255914201838
18.0,3,70.0,90.00,2124.0,13.5,73.0,3,maxda rx3,1.33730120628491
19.0,4,122.0,85.00,2310.0,18.5,73.0,1,ford pinto,0.5561373727510212
21.0,6,155.0,107.0,2472.0,14.0,73.0,1,mercury capri v6,0.6016839808717409
26.0,4,98.0,90.00,2265.0,15.5,73.0,2,fiat 124 sport coupe,0.9577657333405264
15.0,8,350.0,145.0,4082.0,13.0,73.0,1,chevrolet monte carlo s,-3.2121010822908524
16.0,8,400.0,230.0,4278.0,9.5,73.0,1,pontiac grand prix,0.6710259464743952
29.0,4,68.0,49.00,1867.0,19.5,73.0,2,fiat 128,0.3406583185456037
24.0,4,116.0,75.00,2158.0,15.5,73.0,2,opel manta,1.0123371236688652
20.0,4,114.0,91.00,2582.0,14.0,73.0,2,audi 100ls,1.2502897686434464
19.0,4,121.0,112.0,2868.0,15.5,73.0,2,volvo 144ea,1.0594497026124885
15.0,8,318.0,150.0,3399.0,11.0,73.0,1,dodge dart custom,-0.09829333708467128
24.0,4,121.0,110.0,2660.0,14.0,73.0,2,saab 99le,0.9407355170127442
20.0,6,156.0,122.0,2807.0,13.5,73.0,3,toyota mark ii,0.8852932155722886
11.0,8,350.0,180.0,3664.0,11.0,73.0,1,oldsmobile omega,-2.1840220355053592
20.0,6,198.0,95.00,3102.0,16.5,74.0,1,plymouth duster,-0.21373413876163325
19.0,6,232.0,100.0,2901.0,16.0,74.0,1,amc hornet,1.183171088790688
15.0,6,250.0,100.0,3336.0,17.0,74.0,1,chevrolet nova,0.3604394942940034
31.0,4,79.0,67.00,1950.0,19.0,74.0,3,datsun b210,-0.9601980115278872
26.0,4,122.0,80.00,2451.0,16.5,74.0,1,ford pinto,-1.2623662541462042
32.0,4,71.0,65.00,1836.0,21.0,74.0,3,toyota corolla 1200,0.17924470700374914
25.0,4,140.0,75.00,2542.0,17.0,74.0,1,chevrolet vega,0.6601965897283925
16.0,6,250.0,100.0,3781.0,17.0,74.0,1,chevrolet chevelle malibu classic,-0.8890836595854545
16.0,6,258.0,110.0,3632.0,18.0,74.0,1,amc matador,1.4384546141124723
18.0,6,225.0,105.0,3613.0,16.5,74.0,1,plymouth satellite sebring,-0.3533703098689989
16.0,8,302.0,140.0,4141.0,14.0,74.0,1,ford gran torino,0.7720936321265967
13.0,8,350.0,150.0,4699.0,14.5,74.0,1,buick century luxus (sw),-2.499945129650712
14.0,8,318.0,150.0,4457.0,13.5,74.0,1,dodge coronet custom (sw),0.6783543824704095
14.0,8,302.0,140.0,4638.0,16.0,74.0,1,ford gran torino (sw),-0.21250212870002866
14.0,8,304.0,150.0,4257.0,15.5,74.0,1,amc matador (sw),-0.30871818610714263
29.0,4,98.0,83.00,2219.0,16.5,74.0,2,audi fox,0.6446695611254102
26.0,4,79.0,67.00,1963.0,15.5,74.0,2,volkswagen dasher,1.2342892051973648
26.0,4,97.0,78.00,2300.0,14.5,74.0,2,opel manta,-0.3023557340959039
31.0,4,76.0,52.00,1649.0,16.5,74.0,3,toyota corona,-0.2639904052261776
32.0,4,83.0,61.00,2003.0,19.0,74.0,3,datsun 710,1.1587003928027035
28.0,4,90.0,75.00,2125.0,14.5,74.0,1,dodge colt,-0.6787237825186473
24.0,4,90.0,75.00,2108.0,15.5,74.0,2,fiat 128,-0.10347422832537476
26.0,4,116.0,75.00,2246.0,14.0,74.0,2,fiat 124 tc,-1.3655575672644562
24.0,4,120.0,97.00,2489.0,15.0,74.0,3,honda civic,-0.1563778956983225
26.0,4,108.0,93.00,2391.0,15.5,74.0,3,subaru,1.2860997490709998
31.0,4,79.0,67.00,2000.0,16.0,74.0,2,fiat x1.9,0.3716743811629337
19.0,6,225.0,95.00,3264.0,16.0,75.0,1,plymouth valiant custom,-1.0699951167217383
18.0,6,250.0,105.0,3459.0,16.0,75.0,1,chevrolet nova,0.09694729388423932
15.0,6,250.0,72.00,3432.0,21.0,75.0,1,mercury monarch,-0.4594940209317422
15.0,6,250.0,72.00,3158.0,19.5,75.0,1,ford maverick,-1.4228642901813224
16.0,8,400.0,170.0,4668.0,11.5,75.0,1,pontiac catalina,-0.8043002245366795
15.0,8,350.0,145.0,4440.0,14.0,75.0,1,chevrolet bel air,1.1342590508564028
16.0,8,318.0,150.0,4498.0,14.5,75.0,1,plymouth grand fury,-0.18861771105590167
14.0,8,351.0,148.0,4657.0,13.5,75.0,1,ford ltd,0.4293905776131964
17.0,6,231.0,110.0,3907.0,21.0,75.0,1,buick century,-0.06836350414991364
16.0,6,250.0,105.0,3897.0,18.5,75.0,1,chevroelt chevelle malibu,0.19202112696869547
15.0,6,258.0,110.0,3730.0,19.0,75.0,1,amc matador,-0.7572184683793171
18.0,6,225.0,95.00,3785.0,19.0,75.0,1,plymouth fury,-0.012673107078869952
21.0,6,231.0,110.0,3039.0,15.0,75.0,1,buick skyhawk,0.2644373831515908
20.0,8,262.0,110.0,3221.0,13.5,75.0,1,chevrolet monza 2+2,1.120852555355779
13.0,8,302.0,129.0,3169.0,12.0,75.0,1,ford mustang ii,1.2591633203005272
29.0,4,97.0,75.00,2171.0,16.0,75.0,3,toyota corolla,-0.5269166350333251
23.0,4,140.0,83.00,2639.0,17.0,75.0,1,ford pinto,-0.25654239463112444
20.0,6,232.0,100.0,2914.0,16.0,75.0,1,amc gremlin,-1.4471186198776411
23.0,4,140.0,78.00,2592.0,18.5,75.0,1,pontiac astro,0.4059728403787304
24.0,4,134.0,96.00,2702.0,13.5,75.0,3,toyota corona,-0.444706819077301
25.0,4,90.0,71.00,2223.0,16.5,75.0,2,volkswagen dasher,1.5686839522835283
24.0,4,119.0,97.00,2545.0,17.0,75.0,3,datsun 710,-1.1391891410163206
18.0,6,171.0,97.00,2984.0,14.5,75.0,1,ford pinto,-1.1829819972698423
29.0,4,90.0,70.00,1937.0,14.0,75.0,2,volkswagen rabbit,-0.1244864825926584
19.0,6,232.0,90.00,3211.0,17.0,75.0,1,amc pacer,-2.0770552861341667
23.0,4,115.0,95.00,2694.0,15.0,75.0,2,audi 100ls,0.17299808130105512
23.0,4,120.0,88.00,2957.0,17.0,75.0,2,peugeot 504,-1.4565502377529609
22.0,4,121.0,98.00,2945.0,14.5,75.0,2,volvo 244dl,1.323249228022342
25.0,4,121.0,115.0,2671.0,13.5,75.0,2,saab 99le,0.14095828966050095
33.0,4,91.0,53.00,1795.0,17.5,75.0,3,honda civic cvcc,0.9445007250499132
28.0,4,107.0,86.00,2464.0,15.5,76.0,2,fiat 131,-0.013694594589319537
25.0,4,116.0,81.00,2220.0,16.9,76.0,2,opel 1900,-1.0134154835547855
25.0,4,140.0,92.00,2572.0,14.9,76.0,1,capri ii,3.036029691238213
26.0,4,98.0,79.00,2255.0,17.7,76.0,1,dodge colt,-0.3469118218504816
27.0,4,101.0,83.00,2202.0,15.3,76.0,2,renault 12tl,-1.5176214860944712
17.5,8,305.0,140.0,4215.0,13.0,76.0,1,chevrolet chevelle malibu classic,-0.03388835196014163
16.0,8,318.0,150.0,4190.0,13.0,76.0,1,dodge coronet brougham,0.13377731131866916
15.5,8,304.0,120.0,3962.0,13.9,76.0,1,amc matador,0.40423608676401707
14.5,8,351.0,152.0,4215.0,12.8,76.0,1,ford gran torino,0.7148011388720821
22.0,6,225.0,100.0,3233.0,15.4,76.0,1,plymouth valiant,-0.8967306612133973
22.0,6,250.0,105.0,3353.0,14.5,76.0,1,chevrolet nova,-0.3752350844496269
24.0,6,200.0,81.00,3012.0,17.6,76.0,1,ford maverick,0.7229142139043442
22.5,6,232.0,90.00,3085.0,17.6,76.0,1,amc hornet,-0.13488551651334688
29.0,4,85.0,52.00,2035.0,22.2,76.0,1,chevrolet chevette,0.3301683932158637
24.5,4,98.0,60.00,2164.0,22.1,76.0,1,chevrolet woody,0.23928624452825045
29.0,4,90.0,70.00,1937.0,14.2,76.0,2,vw rabbit,-0.19532714246486327
33.0,4,91.0,53.00,1795.0,17.4,76.0,3,honda civic,0.8304713093183885
20.0,6,225.0,100.0,3651.0,17.7,76.0,1,dodge aspen se,1.1997965869970824
18.0,6,250.0,78.00,3574.0,21.0,76.0,1,ford granada ghia,-0.2051731260955607
18.5,6,250.0,110.0,3645.0,16.2,76.0,1,pontiac ventura sj,-0.6983680380864009
17.5,6,258.0,95.00,3193.0,17.8,76.0,1,amc pacer d/l,0.3976727372921513
29.5,4,97.0,71.00,1825.0,12.2,76.0,2,volkswagen rabbit,-2.0963519636623085
32.0,4,85.0,70.00,1990.0,17.0,76.0,3,datsun b-210,-0.5127785173442387
28.0,4,97.0,75.00,2155.0,16.4,76.0,3,toyota corolla,-0.9304201196920868
26.5,4,140.0,72.00,2565.0,13.6,76.0,1,ford pinto,-1.8513656936051104
20.0,4,130.0,102.0,3150.0,15.7,76.0,2,volvo 245,1.2016656263730403
13.0,8,318.0,150.0,3940.0,13.2,76.0,1,plymouth volare premier v8,-0.9400033897613324
19.0,4,120.0,88.00,3270.0,21.9,76.0,2,peugeot 504,0.12425739815629247
19.0,6,156.0,108.0,2930.0,15.5,76.0,3,toyota mark ii,-1.0649097560304384
16.5,6,168.0,120.0,3820.0,16.7,76.0,2,mercedes-benz 280s,1.7937408433599151
16.5,8,350.0,180.0,4380.0,12.1,76.0,1,cadillac seville,1.2241116723910157
13.0,8,350.0,145.0,4055.0,12.0,76.0,1,chevy c10,-1.0111996085770156
13.0,8,302.0,130.0,3870.0,15.0,76.0,1,ford f108,-1.2564075398511927
13.0,8,318.0,150.0,3755.0,14.0,76.0,1,dodge d100,1.179877147312268
31.5,4,98.0,68.00,2045.0,18.5,77.0,3,honda accord cvcc,0.3705444975016853
30.0,4,111.0,80.00,2155.0,14.8,77.0,1,buick opel isuzu deluxe,-0.23790672174970914
36.0,4,79.0,58.00,1825.0,18.6,77.0,2,renault 5 gtl,-1.3127951732104464
25.5,4,122.0,96.00,2300.0,15.5,77.0,1,plymouth arrow gs,-1.899207433959708
33.5,4,85.0,70.00,1945.0,16.8,77.0,3,datsun f-10 hatchback,-0.26515528440411706
17.5,8,305.0,145.0,3880.0,12.5,77.0,1,chevrolet caprice classic,-1.18403392771105
17.0,8,260.0,110.0,4060.0,19.0,77.0,1,oldsmobile cutlass supreme,-0.7246626019489273
15.5,8,318.0,145.0,4140.0,13.7,77.0,1,dodge monaco brougham,0.2969292870726384
15.0,8,302.0,130.0,4295.0,14.9,77.0,1,mercury cougar brougham,-1.7710200851777222
17.5,6,250.0,110.0,3520.0,16.4,77.0,1,chevrolet concours,0.3864744808710693
20.5,6,231.0,105.0,3425.0,16.9,77.0,1,buick skylark,1.6223314649486704
19.0,6,225.0,100.0,3630.0,17.7,77.0,1,plymouth volare custom,-1.0446652203654432
18.5,6,250.0,98.00,3525.0,19.0,77.0,1,ford granada,-0.23403042190294
16.0,8,400.0,180.0,4220.0,11.1,77.0,1,pontiac grand prix lj,0.5592202007871335
15.5,8,350.0,170.0,4165.0,11.4,77.0,1,chevrolet monte carlo landau,-1.8632998877312927
15.5,8,400.0,190.0,4325.0,12.2,77.0,1,chrysler cordoba,-0.051466830323891016
16.0,8,351.0,149.0,4335.0,14.5,77.0,1,ford thunderbird,0.075730028463245
29.0,4,97.0,78.00,1940.0,14.5,77.0,2,volkswagen rabbit custom,-0.27133551607986484
24.5,4,151.0,88.00,2740.0,16.0,77.0,1,pontiac sunbird coupe,-1.5775288684430242
26.0,4,97.0,75.00,2265.0,18.2,77.0,3,toyota corolla liftback,0.4777461804849688
25.5,4,140.0,89.00,2755.0,15.8,77.0,1,ford mustang ii 2+2,-1.2399112519526778
30.5,4,98.0,63.00,2051.0,17.0,77.0,1,chevrolet chevette,-0.1392909171782765
33.5,4,98.0,83.00,2075.0,15.9,77.0,1,dodge colt m/m,0.5011426303092739
30.0,4,97.0,67.00,1985.0,16.4,77.0,3,subaru dl,-1.086720435806574
30.5,4,97.0,78.00,2190.0,14.1,77.0,2,volkswagen dasher,-0.7880516978040587
22.0,6,146.0,97.00,2815.0,14.5,77.0,3,datsun 810,-0.2501654298411084
21.5,4,121.0,110.0,2600.0,12.8,77.0,2,bmw 320i,-0.4826735483062533
21.5,3,80.0,110.0,2720.0,13.5,77.0,3,mazda rx-4,-1.5834163112117323
43.1,4,90.0,48.00,1985.0,21.5,78.0,2,volkswagen rabbit custom diesel,1.4097582228111605
36.1,4,98.0,66.00,1800.0,14.4,78.0,1,ford fiesta,-1.8067758845605644
32.8,4,78.0,52.00,1985.0,19.4,78.0,3,mazda glc deluxe,-0.32823269717268483
39.4,4,85.0,70.00,2070.0,18.6,78.0,3,datsun b210 gx,-0.6991404683167549
36.1,4,91.0,60.00,1800.0,16.4,78.0,3,honda civic cvcc,-0.047434161022098936
19.9,8,260.0,110.0,3365.0,15.5,78.0,1,oldsmobile cutlass salon brougham,0.6335272648629495
19.4,8,318.0,140.0,3735.0,13.2,78.0,1,dodge diplomat,-1.1424437582299976
20.2,8,302.0,139.0,3570.0,12.8,78.0,1,mercury monarch ghia,-1.0780560392928358
19.2,6,231.0,105.0,3535.0,19.2,78.0,1,pontiac phoenix lj,-1.7395007754539904
20.5,6,200.0,95.00,3155.0,18.2,78.0,1,chevrolet malibu,1.4135729693488257
20.2,6,200.0,85.00,2965.0,15.8,78.0,1,ford fairmont (auto),-0.8378675848641504
25.1,4,140.0,88.00,2720.0,15.4,78.0,1,ford fairmont (man),-0.4430470991795449
20.5,6,225.0,100.0,3430.0,17.2,78.0,1,plymouth volare,1.5921299749432565
19.4,6,232.0,90.00,3210.0,17.2,78.0,1,amc concord,-1.3155264771795556
20.6,6,231.0,105.0,3380.0,15.8,78.0,1,buick century special,-0.08034967803736309
20.8,6,200.0,85.00,3070.0,16.7,78.0,1,mercury zephyr,0.8273506992385047
18.6,6,225.0,110.0,3620.0,18.7,78.0,1,dodge aspen,1.7344272568497252
18.1,6,258.0,120.0,3410.0,15.1,78.0,1,amc concord d/l,0.7177191662997711
19.2,8,305.0,145.0,3425.0,13.2,78.0,1,chevrolet monte carlo landau,-0.5430146516168196
17.7,6,231.0,165.0,3445.0,13.4,78.0,1,buick regal sport coupe (turbo),-0.30385446606045696
18.1,8,302.0,139.0,3205.0,11.2,78.0,1,ford futura,0.4477729196511397
17.5,8,318.0,140.0,4080.0,13.7,78.0,1,dodge magnum xe,-1.1659441252964582
30.0,4,98.0,68.00,2155.0,16.5,78.0,1,chevrolet chevette,0.08093672945695153
27.5,4,134.0,95.00,2560.0,14.2,78.0,3,toyota corona,0.7684120944299913
27.2,4,119.0,97.00,2300.0,14.7,78.0,3,datsun 510,0.5037282456037675
30.9,4,105.0,75.00,2230.0,14.5,78.0,1,dodge omni,0.08434747641502008
21.1,4,134.0,95.00,2515.0,14.8,78.0,3,toyota celica gt liftback,-0.00040338423950438997
23.2,4,156.0,105.0,2745.0,16.7,78.0,1,plymouth sapporo,-0.09178327417304896
23.8,4,151.0,85.00,2855.0,17.6,78.0,1,oldsmobile starfire sx,0.1334524199566009
23.9,4,119.0,97.00,2405.0,14.9,78.0,3,datsun 200-sx,0.20402367690988146
20.3,5,131.0,103.0,2830.0,15.9,78.0,2,audi 5000,-1.6882199268719986
17.0,6,163.0,125.0,3140.0,13.6,78.0,2,volvo 264gl,-0.8097723998488794
21.6,4,121.0,115.0,2795.0,15.7,78.0,2,saab 99gle,0.2443871448286641
16.2,6,163.0,133.0,3410.0,15.8,78.0,2,peugeot 604sl,-0.34314940073445177
31.5,4,89.0,71.00,1990.0,14.9,78.0,2,volkswagen scirocco,0.5543517930643981
29.5,4,98.0,68.00,2135.0,16.6,78.0,3,honda accord lx,-0.2643372629685221
21.5,6,231.0,115.0,3245.0,15.4,79.0,1,pontiac lemans v6,-0.4807604805625978
19.8,6,200.0,85.00,2990.0,18.2,79.0,1,mercury zephyr 6,-0.5637443360277181
22.3,4,140.0,88.00,2890.0,17.3,79.0,1,ford fairmont 4,-0.3597620307264539
20.2,6,232.0,90.00,3265.0,18.2,79.0,1,amc concord dl 6,-0.950742177570402
20.6,6,225.0,110.0,3360.0,16.6,79.0,1,dodge aspen 6,0.5950904043487261
17.0,8,305.0,130.0,3840.0,15.4,79.0,1,chevrolet caprice classic,-0.4953368031794349
17.6,8,302.0,129.0,3725.0,13.4,79.0,1,ford ltd landau,0.4418912024716982
16.5,8,351.0,138.0,3955.0,13.2,79.0,1,mercury grand marquis,-0.5171497985504805
18.2,8,318.0,135.0,3830.0,15.2,79.0,1,dodge st. regis,0.06261832006771101
16.9,8,350.0,155.0,4360.0,14.9,79.0,1,buick estate wagon (sw),-0.08881034699071963
15.5,8,351.0,142.0,4054.0,14.3,79.0,1,ford country squire (sw),-1.5977466550753905
19.2,8,267.0,125.0,3605.0,15.0,79.0,1,chevrolet malibu classic (sw),-0.2883292004410295
18.5,8,360.0,150.0,3940.0,13.0,79.0,1,chrysler lebaron town @ country (sw),-0.7635971791496592
31.9,4,89.0,71.00,1925.0,14.0,79.0,2,vw rabbit custom,0.3682365138135026
34.1,4,86.0,65.00,1975.0,15.2,79.0,3,maxda glc deluxe,-1.7237060544898035
35.7,4,98.0,80.00,1915.0,14.4,79.0,1,dodge colt hatchback custom,0.3465127788931908
27.4,4,121.0,80.00,2670.0,15.0,79.0,1,amc spirit dl,0.5226237330670517
25.4,5,183.0,77.00,3530.0,20.1,79.0,2,mercedes benz 300d,-0.5194049231976872
